Manufacturer,Model Name,Category,Screen Size,Screen,RAM, Storage,GPU,Operating System,Operating System Version,Weight,Price (Euros)
Lenovo,IdeaPad 520s-14IKB,Notebook,"14.0""",Full HD 1920x1080,4GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.7kg,699
HP,ZBook 17,Workstation,"17.3""",Full HD 1920x1080,8GB,500GB HDD,Nvidia Quadro M1200,Windows,10,3.14kg,1907.99
Lenovo,ThinkPad X1,2 in 1 Convertible,"14.0""",Touchscreen 2560x1440,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.42kg,2590
Toshiba,Satellite Pro,Notebook,"13.3""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.5kg,973
Acer,TravelMate B117-M,Netbook,"11.6""",1366x768,4GB,32GB Flash Storage,Intel HD Graphics,Windows,10,1.4kg,269
Lenovo,Yoga 910-13IKB,2 in 1 Convertible,"14.0""",Full HD / Touchscreen 1920x1080,16GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.38kg,1749
Asus,Chromebook Flip,2 in 1 Convertible,"12.5""",Full HD / Touchscreen 1920x1080,4GB,64GB Flash Storage,Intel HD Graphics 515,Chrome OS,,1.2kg,669
Toshiba,Portege Z30T-C-133,Ultrabook,"13.3""",Full HD / Touchscreen 1920x1080,16GB,512GB SSD,Intel HD Graphics 520,Windows,10,1.36kg,1877
HP,15-bs011nv (i7-7500U/4GB/500GB/Radeon,Notebook,"15.6""",IPS Panel Full HD 1920x1080,4GB,500GB HDD,AMD Radeon 530,Windows,10,2.1kg,689
Dell,Inspiron 5577,Gaming,"15.6""",Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.56kg,819
Lenovo,IdeaPad 320-15AST,Notebook,"15.6""",Full HD 1920x1080,4GB,256GB SSD,AMD Radeon 530,Windows,10,2.2kg,399
Lenovo,IdeaPad 320-15ABR,Notebook,"15.6""",1366x768,8GB,1TB HDD,AMD Radeon R7,Windows,10,2.2kg,429
Lenovo,V310-15IKB (i5-7200U/4GB/1TB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD +  1TB HDD,Intel HD Graphics 620,Windows,10,2.1kg,621.45
Lenovo,V310-15ISK (i3-6006U/4GB/500GB/No,Notebook,"15.6""",1366x768,4GB,500GB HDD,Intel HD Graphics 520,No OS,,1.90kg,450
Dell,Vostro 5568,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,2.18kg,795
Acer,Spin 5,2 in 1 Convertible,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.6kg,999
Lenovo,ThinkPad P51s,Workstation,"15.6""",Full HD 1920x1080,16GB,512GB SSD,Nvidia Quadro M520M,Windows,7,2.18kg,1855
Lenovo,Thinkpad T460p,Notebook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 520,Windows,10,1.8kg,1191
HP,17-ak002nv (A10-9620P/6GB/2TB/Radeon,Notebook,"17.3""",IPS Panel Full HD 1920x1080,6GB,2TB HDD,AMD Radeon 530,Windows,10,2.71kg,655.01
Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",IPS Panel Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.5kg,1249
Dell,Latitude 5480,Notebook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 930MX,Linux,,1.64kg,1089
Dell,Vostro 5568,Notebook,"15.6""",Full HD 1920x1080,8GB,1TB HDD,Intel HD Graphics 620,Linux,,1.98kg,726
Asus,VivoBook E403NA,Notebook,"14.0""",Full HD 1920x1080,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows,10,1.5kg,298
Dell,Latitude 5580,Notebook,"15.6""",Full HD 1920x1080,16GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.93kg,1426.66
Lenovo,Thinkpad E470,Notebook,"14.0""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 920MX,Windows,10,1.87kg,857.07
Dell,Latitude 5580,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.9kg,1179
Lenovo,110-15ACL (A6-7310/4GB/500GB/W10),Notebook,"15.6""",1366x768,4GB,500GB HDD,AMD Radeon R4,Windows,10,2.19kg,298
Mediacom,Smartbook 142,Notebook,"14.0""",IPS Panel Full HD 1920x1200,4GB,32GB HDD,Intel HD Graphics 400,Windows,10,1.4kg,265
HP,ProBook 470,Notebook,"17.3""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce 930MX,Windows,10,2.63kg,1200
Lenovo,ThinkPad X1,Ultrabook,"14.0""",IPS Panel Quad HD+ 2560x1440,8GB,512GB SSD,Intel HD Graphics 520,Windows,10,1.17kg,1686.64
HP,Pavilion X360,2 in 1 Convertible,"13.3""",IPS Panel Touchscreen 1366x768,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.58kg,836.6
Lenovo,ThinkPad T470s,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.32kg,1499
Dell,Alienware 17,Gaming,"17.3""",4K Ultra HD 3840x2160,32GB,1TB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,4.36kg,3659.4
MSI,GL72M 7REX,Gaming,"17.3""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.7kg,1348.48
Lenovo,V310-15IKB (i5-7200U/4GB/1TB/No,Notebook,"15.6""",1366x768,4GB,1TB HDD,Intel HD Graphics 620,No OS,,1.9kg,489.9
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows,10,2.2kg,719
Dell,Inspiron 5378,2 in 1 Convertible,"13.3""",Full HD / Touchscreen 1920x1080,4GB,1TB HDD,Intel HD Graphics 620,Windows,10,1.71kg,649
Dell,Inspiron 5567,Notebook,"15.6""",1366x768,8GB,1TB HDD,AMD Radeon R7 M445,Linux,,2.32kg,589.52
HP,15-BW037na (A9-9420/4GB/1TB/Radeon,Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,AMD Radeon 520,Windows,10,2.1kg,489
Acer,Predator 17,Gaming,"17.3""",IPS Panel Full HD 1920x1080,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,4.2kg,1935
Dell,Inspiron 3567,Notebook,"15.6""",1366x768,12GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.25kg,649
HP,15-BW091ND (A9-9420/6GB/1TB,Notebook,"15.6""",Full HD 1920x1080,6GB,128GB SSD +  1TB HDD,AMD Radeon 520,Windows,10,2.1kg,650
Acer,Extensa EX2540-58KR,Notebook,"15.6""",1366x768,4GB,500GB HDD,Intel HD Graphics 620,Windows,10,2.4kg,559
Lenovo,ThinkPad 13,Notebook,"13.3""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.44kg,960
Lenovo,V310-15IKB (i7-7500U/4GB/1TB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,Intel HD Graphics 620,Windows,10,1.85kg,779
HP,ZBook 15,Workstation,"15.6""",Full HD 1920x1080,16GB,256GB SSD,Nvidia Quadro M2200,Windows,10,2.6kg,2419
Dell,Inspiron 5379,2 in 1 Convertible,"13.3""",Full HD / Touchscreen 1920x1080,8GB,1TB HDD,Intel UHD Graphics 620,Windows,10,1.55kg,659
MSI,GS63VR 7RF,Gaming,"15.6""",Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,1.8kg,2094.48
Acer,Aspire ES1-572,Notebook,"15.6""",1366x768,4GB,500GB HDD,Intel HD Graphics 520,Windows,10,2.4kg,410.8
Dell,Inspiron 7560,Notebook,"15.6""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows,10,2.0kg,1207
Dell,Vostro 3568,Notebook,"15.6""",1366x768,8GB,256GB SSD,Intel HD Graphics 520,Windows,10,2kg,665
Toshiba,Tecra X40-D-10G,Notebook,"14.0""",IPS Panel Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.25kg,1535
Lenovo,Flex 5,2 in 1 Convertible,"14.0""",Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.7kg,999
Lenovo,Thinkpad P51s,Workstation,"15.6""",IPS Panel 4K Ultra HD 3840x2160,16GB,1TB SSD,Nvidia Quadro M520M,Windows,10,2.5kg,3299
Acer,Chromebook 14,Notebook,"14.0""",1366x768,2GB,32GB Flash Storage,Intel HD Graphics 400,Chrome OS,,1.68kg,330
Samsung,Notebook 9,Ultrabook,"13.3""",Full HD 1920x1080,16GB,256GB SSD,Intel HD Graphics 620,Windows,10,0.81kg,1649
HP,250 G6,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 520,Windows,10,1.86kg,539
Dell,Latitude 5480,Notebook,"14.0""",1366x768,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.6kg,1126.71
HP,Zbook 17,Workstation,"17.3""",IPS Panel Full HD 1920x1080,16GB,256GB SSD,Nvidia Quadro M2000M,Windows,7,3kg,4389
Lenovo,N23 (N3060/4GB/128GB/W10),Netbook,"11.6""",Touchscreen 1366x768,4GB,128GB SSD,Intel HD Graphics 400,Windows,10,1.4kg,475
HP,EliteBook 850,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 520,Windows,10,1.84kg,1900
Asus,X550VX-XX015D (i5-6300HQ/4GB/1TB/GeForce,Notebook,"15.6""",1366x768,4GB,1TB HDD,Nvidia GeForce GTX 950M,No OS,,2.45kg,579
Lenovo,Thinkpad T460,Ultrabook,"14.0""",Full HD 1920x1080,4GB,1GB SSD,Intel HD Graphics 520,Windows,10,1.7kg,1096
Asus,Pro P2540UA-XO0192R,Notebook,"15.6""",1366x768,4GB,256GB SSD,Intel HD Graphics 620,Windows,10,2.37kg,849.9
Lenovo,Yoga 900-13ISK,2 in 1 Convertible,"13.3""",IPS Panel Quad HD+ / Touchscreen 3200x1800,8GB,256GB SSD,Intel HD Graphics 540,Windows,10,1.3kg,1199
HP,15-cb003na (i5-7300HQ/8GB/1TB,Notebook,"15.6""",IPS Panel Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.2kg,1099
HP,ZBook 15,Workstation,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Nvidia Quadro M1000M,Windows,7,2.59kg,1561
Dell,Alienware 17,Gaming,"15.6""",IPS Panel 4K Ultra HD 3840x2160,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,4.42kg,2868.99
Acer,Aspire 3,Notebook,"15.6""",1366x768,4GB,256GB SSD,Intel HD Graphics 620,Windows,10,2.1kg,599
Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",IPS Panel Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.5kg,1048
Dell,Latitude 7280,Ultrabook,"12.5""",Full HD 1920x1080,16GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.18kg,1859
Google,Pixelbook (Core,Ultrabook,"12.3""",Touchscreen 2400x1600,8GB,256GB SSD,Intel HD Graphics 615,Chrome OS,,1.1kg,1559
Asus,Zenbook UX330UA-AH5Q,Ultrabook,"13.3""",IPS Panel Quad HD+ 3200x1800,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.2kg,1129
Dell,Latitude 3380,Notebook,"13.3""",1366x768,4GB,500GB HDD,Intel HD Graphics 520,Windows,10,1.65kg,849
Acer,TravelMate P238-M,Notebook,"13.3""",1366x768,4GB,128GB SSD,Intel HD Graphics 520,Windows,10,1.6kg,655
Asus,X751NV-TY001 (N4200/4GB/1TB/GeForce,Notebook,"17.3""",1366x768,4GB,1TB HDD,Nvidia GeForce 920MX,Windows,10,2.8kg,470.34
Dell,Inspiron 7559,Gaming,"15.6""",IPS Panel Touchscreen / 4K Ultra HD 3840x2160,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,Windows,10,2.72kg,1099
Samsung,Notebook 9,Ultrabook,"13.3""",Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.31kg,1599
Acer,Aspire A315-31,Notebook,"15.6""",1366x768,4GB,1TB HDD,Intel HD Graphics 505,Linux,,2.1kg,298
Dell,Inspiron 5567,Notebook,"15.6""",Full HD 1920x1080,16GB,256GB SSD,AMD Radeon R7 M445,Windows,10,2.3kg,1181.27
Samsung,Notebook 9,2 in 1 Convertible,"15.0""",Full HD / Touchscreen 1920x1080,16GB,256GB SSD,AMD Radeon 540,Windows,10,1.71kg,1799
Toshiba,Tecra A40-C-1E5,Notebook,"14.0""",IPS Panel 1366x768,4GB,128GB SSD,Intel HD Graphics 520,Windows,10,1.75kg,1020
Dell,Inspiron 7567,Gaming,"15.6""",Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.62kg,1099
HP,EliteBook 820,Ultrabook,"12.5""",1366x768,4GB,256GB SSD,Intel HD Graphics 520,Windows,10,1.26kg,1244
Asus,Q524UQ-BHI7T15 (i7-7500U/12GB/2TB/GeForce,2 in 1 Convertible,"15.6""",Full HD / Touchscreen 1920x1080,12GB,2TB HDD,Nvidia GeForce 940MX,Windows,10,2.3kg,839
Lenovo,Thinkpad P50,Notebook,"15.6""",4K Ultra HD 3840x2160,16GB,512GB SSD,Nvidia Quadro M2000M,Windows,7,2.5kg,2370
Acer,Swift 3,Notebook,"14.0""",IPS Panel Full HD 1920x1080,4GB,128GB SSD,Intel HD Graphics 620,Windows,10,1.8kg,636
Razer,Blade Pro,Gaming,"14.0""",Full HD 1920x1080,16GB,512GB SSD,Nvidia GeForce GTX 1060,Windows,10,1.95kg,2899
Asus,Vivobook Max,Notebook,"15.6""",1920x1080,8GB,128GB SSD,Intel HD Graphics 505,Windows,10,2kg,581.9
Dell,Alienware 17,Gaming,"17.3""",IPS Panel Full HD 1920x1080,32GB,1TB SSD +  1TB HDD,Nvidia GeForce GTX 1070M,Windows,10,4.42kg,3588.8
Asus,Rog G752VS-BA171T,Gaming,"17.3""",IPS Panel Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,4.3kg,2350
Toshiba,Tecra Z40-C-161,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,16GB,512GB SSD,Nvidia GeForce 930M,Windows,10,1.47kg,1764
Lenovo,IdeaPad 110-15IBR,Notebook,"15.6""",1366x768,8GB,1TB HDD,Intel HD Graphics 405,No OS,,2.2kg,329
Lenovo,ThinkPad T470s,Ultrabook,"14.0""",Full HD 1920x1080,16GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.7kg,2299
MSI,GS43VR 7RE,Gaming,"14.0""",IPS Panel Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,1.6kg,1891
MSI,GL62M (i5-7300HQ/8GB/1TB,Gaming,"15.6""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.2kg,1089
Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",IPS Panel Full HD 1920x1080,4GB,1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.4kg,999
Acer,Predator G9-793,Gaming,"17.3""",IPS Panel Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,4.2kg,2299
Dell,Inspiron 7567,Gaming,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows,10,2.62kg,985
Asus,FX502VM-DM560T (i7-7700HQ/8GB/1TB,Gaming,"15.6""",Full HD 1920x1080,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX1060,Windows,10,2.24kg,1339
Vero,K146 (N3350/4GB/32GB/W10),Notebook,"14.0""",1920x1080,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows,10,1.22kg,202.9
Lenovo,ThinkPad Yoga,2 in 1 Convertible,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,8GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.37kg,1970
Lenovo,Yoga 510-15IKB,2 in 1 Convertible,"15.6""",Full HD / Touchscreen 1920x1080,8GB,256GB SSD,AMD Radeon R7 M460,Windows,10,2.08kg,959
Apple,"MacBook 12""",Ultrabook,"12.0""",IPS Panel Retina Display 2304x1440,8GB,512GB Flash Storage,Intel HD Graphics 5300,Mac OS,X,0.920kg,1165
Lenovo,ThinkPad X1,2 in 1 Convertible,"14.0""",IPS Panel Touchscreen 2560x1440,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.42kg,2330
Asus,R417NA-RS01 (N3350/4GB/32GB/W10),Notebook,"14.0""",1366x768,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows,10,1.63kg,299
Dell,Latitude 3580,Notebook,"15.6""",1366x768,8GB,128GB SSD,Intel HD Graphics 620,Windows,10,1.95kg,810
Lenovo,Yoga 910-13IKB,2 in 1 Convertible,"13.9""",IPS Panel Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.38kg,1349
Dell,Vostro 5568,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,AMD Radeon R5 M420X,Windows,10,2kg,739
HP,ZBook 17,Workstation,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Nvidia Quadro M2200,Windows,10,3.14kg,2064.9
Asus,Pro P2540UA-XS51,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,2.37kg,1099
Dell,XPS 13,Ultrabook,"13.3""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.29kg,1499
Dell,XPS 15,Notebook,"15.6""",4K Ultra HD / Touchscreen 3840x2160,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows,10,2.06kg,1749
Dell,Latitude 3180,Netbook,"11.6""",1366x768,4GB,128GB SSD,Intel HD Graphics 505,Windows,10,1.63kg,744
HP,EliteBook 820,Netbook,"12.5""",1366x768,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.26kg,1389
Toshiba,Satellite Pro,Notebook,"15.6""",1366x768,4GB,500GB HDD,Intel HD Graphics 520,Windows,10,2.1kg,780
HP,15-ba043na (A12-9700P/8GB/2TB/W10),Notebook,"15.6""",1366x768,8GB,2TB HDD,AMD Radeon R7 Graphics,Windows,10,2.04kg,629
Dell,Inspiron 7567,Gaming,"15.6""",4K Ultra HD 3840x2160,16GB,512GB SSD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.62kg,1679
Lenovo,IdeaPad 310-15IKB,Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,Nvidia GeForce 920M,Windows,10,2.4kg,609
HP,Omen 17-an012dx,Gaming,"17.3""",IPS Panel Full HD 1920x1080,12GB,1TB HDD,AMD Radeon RX 580,Windows,10,3.74kg,1749
MSI,GE72MVR 7RG,Gaming,"17.3""",Full HD 1920x1080,16GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,2.9kg,2415
Samsung,Notebook 9,Ultrabook,"13.3""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,0.81kg,1499
Dell,Vostro 5568,Notebook,"15.6""",Full HD 1920x1080,8GB,1TB HDD,Nvidia GeForce GT 940MX,Windows,10,1.98kg,961
Dell,Vostro 3568,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,AMD Radeon R5 M420,Windows,10,2.18kg,789.81
Lenovo,Thinkpad T470s,Ultrabook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.32kg,1859
Razer,Blade Stealth,Ultrabook,"12.5""",IPS Panel 4K Ultra HD / Touchscreen 3840x2160,16GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.29kg,1799
HP,Chromebook 11,Netbook,"11.6""",1366x768,4GB,16GB Flash Storage,Intel HD Graphics 400,Chrome OS,,1.23kg,385
Dell,Alienware 17,Gaming,"17.3""",IPS Panel Full HD 1920x1080,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,4.36kg,2505.02
Dell,Latitude 3480,Notebook,"14.0""",1366x768,4GB,500GB HDD,Intel HD Graphics 520,Windows,10,1.76kg,755
Lenovo,V110-15ISK (i3-6006U/4GB/500GB/W10),Notebook,"15.6""",1366x768,4GB,500GB HDD,Intel HD Graphics 520,Windows,10,2.1kg,489.9
Toshiba,Tecra X40-D-10Z,Ultrabook,"14.0""",1366x768,4GB,128GB SSD,Intel HD Graphics 620,Windows,10,1.25kg,1090
Lenovo,Thinkpad X1,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,8GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.13kg,2499
MSI,GL62M 7RD,Gaming,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows,10,2.4kg,1199
Lenovo,ThinkPad X1,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,8GB,256GB Flash Storage,Intel HD Graphics 620,Windows,10,1.13kg,1875
Toshiba,Satellite Pro,Notebook,"14.0""",1366x768,4GB,128GB SSD,Intel HD Graphics 510,Windows,10,1.75kg,499
Asus,ZenBook Flip,2 in 1 Convertible,"13.3""",Touchscreen / Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.1kg,1358
Dell,Latitude 3480,Notebook,"14.0""",1366x768,4GB,500GB HDD,Intel HD Graphics 520,Windows,10,1.76kg,585
Acer,Chromebook 11,Netbook,"11.6""",IPS Panel 1366x768,4GB,32GB Flash Storage,Intel HD Graphics 400,Chrome OS,,1.35kg,355
Acer,Swift 3,Notebook,"14.0""",IPS Panel Full HD 1920x1080,8GB,128GB SSD,Intel HD Graphics 620,Windows,10,1.5kg,619
Razer,Blade Pro,Gaming,"17.3""",4K Ultra HD / Touchscreen 3840x2160,32GB,512GB SSD,Nvidia GeForce GTX 1080,Windows,10,3.49kg,5499
Lenovo,Thinkpad X1,Ultrabook,"14.0""",IPS Panel Quad HD+ 2560x1440,16GB,512GB SSD,Intel HD Graphics 520,Windows,10,1.1kg,2099
Asus,VivoBook Max,Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,Nvidia GeForce 920,Linux,,2.1kg,519
Lenovo,Thinkpad T460,Notebook,"14.0""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 520,Windows,10,1.7kg,1186
Lenovo,ThinkPad T470s,Notebook,"14.0""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.32kg,1650
Dell,Alienware 15,Gaming,"15.6""",Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,3.21kg,2774.63
Asus,Rog GL702VS-BA023T,Gaming,"17.3""",Full HD 1920x1080,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,2.9kg,2419
Toshiba,Satellite Pro,Notebook,"15.6""",1366x768,4GB,500GB HDD,Intel HD Graphics 620,Windows,10,2.0kg,669
Lenovo,N42-20 Chromebook,Notebook,"14.0""",1366x768,4GB,16GB Flash Storage,Intel HD Graphics 400,Chrome OS,,1.5kg,325
Asus,R558UA-DM966T (i5-7200U/8GB/128GB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,8GB,128GB HDD,Intel HD Graphics 620,Windows,10,2.3kg,590
Asus,Rog GL702VM-GC017T,Gaming,"17.3""",Full HD 1920x1080,16GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.73kg,1799
Dell,Alienware 17,Gaming,"17.3""",IPS Panel Full HD 1920x1080,32GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,4.42kg,3072.89
HP,ProBook 470,Notebook,"17.3""",1600x900,8GB,1TB HDD,Nvidia GeForce 930MX,Windows,10,2.63kg,910
Dell,Vostro 3568,Notebook,"15.6""",1366x768,8GB,128GB SSD,Intel HD Graphics 620,Windows,10,2.18kg,713.99
HP,EliteBook 840,Ultrabook,"14.0""",Full HD 1920x1080,8GB,512GB SSD,Intel HD Graphics 520,Windows,7,1.54kg,1870
Dell,Vostro 3568,Notebook,"15.6""",Full HD 1920x1080,4GB,256GB SSD,AMD Radeon R5 M420,Windows,10,2.18kg,739
HP,Chromebook X360,2 in 1 Convertible,"11.6""",Touchscreen 1366x768,4GB,32GB Flash Storage,Intel HD Graphics 500,Chrome OS,,1.4kg,615
Asus,ZenBook UX310UQ-GL026T,Ultrabook,"13.3""",IPS Panel Full HD 1920x1080,8GB,512GB SSD,Nvidia GeForce 940M,Windows,10,1.45kg,1026
HP,EliteBook x360,2 in 1 Convertible,"13.3""",Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.28kg,2277
HP,EliteBook 840,Ultrabook,"14.0""",Full HD 1920x1080,8GB,512GB SSD,Intel HD Graphics 520,Windows,10,1.54kg,1468
HP,250 G6,Notebook,"15.6""",1366x768,4GB,128GB SSD,Intel HD Graphics 400,No OS,,1.86kg,299
Asus,Rog GL502VM-DS74,Gaming,"15.6""",Full HD 1920x1080,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.1kg,1899
Dell,Inspiron 5767,Notebook,"17.3""",Full HD 1920x1080,8GB,1TB HDD,AMD Radeon R7 M445,Linux,,2.83kg,865
Lenovo,ThinkPad T470p,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce GT 940MX,Windows,10,1.96kg,1903
Asus,K556UR-DM621T (i7-7500U/8GB/256GB/GeForce,Notebook,"15.6""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Nvidia GeForce GTX 930MX,Windows,10,2.3kg,787
Dell,Latitude 5580,Notebook,"15.6""",Full HD 1920x1080,8GB,128GB SSD,Intel HD Graphics 620,Windows,10,1.9kg,945
Asus,X541NA (N4200/4GB/1TB/W10),Notebook,"15.6""",1366x768,4GB,1TB HDD,Intel HD Graphics 505,Windows,10,2kg,449
HP,EliteBook x360,2 in 1 Convertible,"13.3""",Full HD / Touchscreen 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.28kg,2559
Dell,Inspiron 5368,Notebook,"13.3""",Full HD / Touchscreen 1920x1080,8GB,1TB HDD,Intel HD Graphics 520,Windows,10,1.62kg,649
Lenovo,IdeaPad 110-15ISK,Notebook,"15.6""",Full HD 1920x1080,4GB,1TB HDD,Intel HD Graphics 520,No OS,,2.2kg,469
Lenovo,ThinkPad E570,Notebook,"15.6""",IPS Panel Full HD 1920x1080,8GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.3kg,850.66
HP,EliteBook 850,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,AMD Radeon R7 M465,Windows,10,1.84kg,1349
Toshiba,Portege X30-D-10X,Notebook,"13.3""",Full HD 1920x1080,4GB,128GB SSD,Intel HD Graphics 620,Windows,10,1.05kg,1285
